 g_start    g_end  z_start    z_end     sel.
  17.800   17.900    2.000    2.050   0.0000
  17.800   17.900    2.050    2.100   0.0000
  17.800   17.900    2.100    2.150   0.0000
  17.800   17.900    2.150    2.200   0.0052
  17.800   17.900    2.200    2.250   0.0842
  17.800   17.900    2.250    2.300   0.2180
  17.800   17.900    2.300    2.350   0.2526
  17.800   17.900    2.350    2.400   0.3019
  17.800   17.900    2.400    2.450   0.2412
  17.800   17.900    2.450    2.500   0.2828
  17.800   17.900    2.500    2.550   0.2452
  17.800   17.900    2.550    2.600   0.2195
  17.800   17.900    2.600    2.650   0.1374
  17.800   17.900    2.650    2.700   0.0851
  17.800   17.900    2.700    2.750   0.0532
  17.800   17.900    2.750    2.800   0.0149
  17.800   17.900    2.800    2.850   0.0253
  17.800   17.900    2.850    2.900   0.0369
  17.800   17.900    2.900    2.950   0.0510
  17.800   17.900    2.950    3.000   0.0582
  17.800   17.900    3.000    3.050   0.0361
  17.800   17.900    3.050    3.100   0.0150
  17.800   17.900    3.100    3.150   0.0363
  17.800   17.900    3.150    3.200   0.0049
  17.800   17.900    3.200    3.250   0.0000
  17.800   17.900    3.250    3.300   0.0000
  17.800   17.900    3.300    3.350   0.0000
  17.800   17.900    3.350    3.400   0.0000
  17.800   17.900    3.400    3.450   0.0000
  17.800   17.900    3.450    3.500   0.0000
  17.800   17.900    3.500    3.550   0.0000
  17.800   17.900    3.550    3.600   0.0000
  17.800   17.900    3.600    3.650   0.0000
  17.800   17.900    3.650    3.700   0.0000
  17.800   17.900    3.700    3.750   0.0000
  17.800   17.900    3.750    3.800   0.0000
  17.800   17.900    3.800    3.850   0.0000
  17.800   17.900    3.850    3.900   0.0000
  17.800   17.900    3.900    3.950   0.0000
  17.800   17.900    3.950    4.000   0.0000
  17.800   17.900    4.000    4.050   0.0000
  17.800   17.900    4.050    4.100   0.0000
  17.800   17.900    4.100    4.150   0.0000
  17.800   17.900    4.150    4.200   0.0000
  17.800   17.900    4.200    4.250   0.0000
  17.800   17.900    4.250    4.300   0.0000
  17.800   17.900    4.300    4.350   0.0000
  17.800   17.900    4.350    4.400   0.0000
  17.800   17.900    4.400    4.450   0.0000
  17.800   17.900    4.450    4.500   0.0000
  17.800   17.900    4.500    4.550   0.0000
  17.800   17.900    4.550    4.600   0.0000
  17.900   18.000    2.000    2.050   0.0000
  17.900   18.000    2.050    2.100   0.0000
  17.900   18.000    2.100    2.150   0.0050
  17.900   18.000    2.150    2.200   0.0148
  17.900   18.000    2.200    2.250   0.1422
  17.900   18.000    2.250    2.300   0.4162
  17.900   18.000    2.300    2.350   0.4592
  17.900   18.000    2.350    2.400   0.5684
  17.900   18.000    2.400    2.450   0.5306
  17.900   18.000    2.450    2.500   0.5205
  17.900   18.000    2.500    2.550   0.4925
  17.900   18.000    2.550    2.600   0.4130
  17.900   18.000    2.600    2.650   0.3023
  17.900   18.000    2.650    2.700   0.2765
  17.900   18.000    2.700    2.750   0.1590
  17.900   18.000    2.750    2.800   0.1034
  17.900   18.000    2.800    2.850   0.1015
  17.900   18.000    2.850    2.900   0.1547
  17.900   18.000    2.900    2.950   0.1840
  17.900   18.000    2.950    3.000   0.2475
  17.900   18.000    3.000    3.050   0.1531
  17.900   18.000    3.050    3.100   0.1538
  17.900   18.000    3.100    3.150   0.0569
  17.900   18.000    3.150    3.200   0.0556
  17.900   18.000    3.200    3.250   0.0381
  17.900   18.000    3.250    3.300   0.0104
  17.900   18.000    3.300    3.350   0.0000
  17.900   18.000    3.350    3.400   0.0000
  17.900   18.000    3.400    3.450   0.0000
  17.900   18.000    3.450    3.500   0.0000
  17.900   18.000    3.500    3.550   0.0000
  17.900   18.000    3.550    3.600   0.0000
  17.900   18.000    3.600    3.650   0.0000
  17.900   18.000    3.650    3.700   0.0000
  17.900   18.000    3.700    3.750   0.0000
  17.900   18.000    3.750    3.800   0.0000
  17.900   18.000    3.800    3.850   0.0000
  17.900   18.000    3.850    3.900   0.0000
  17.900   18.000    3.900    3.950   0.0000
  17.900   18.000    3.950    4.000   0.0000
  17.900   18.000    4.000    4.050   0.0000
  17.900   18.000    4.050    4.100   0.0000
  17.900   18.000    4.100    4.150   0.0000
  17.900   18.000    4.150    4.200   0.0000
  17.900   18.000    4.200    4.250   0.0000
  17.900   18.000    4.250    4.300   0.0000
  17.900   18.000    4.300    4.350   0.0000
  17.900   18.000    4.350    4.400   0.0000
  17.900   18.000    4.400    4.450   0.0000
