 r_start    r_end  z_start    z_end     sel.
  17.600   17.700    2.000    2.050   0.0000
  17.600   17.700    2.050    2.100   0.0054
  17.600   17.700    2.100    2.150   0.0056
  17.600   17.700    2.150    2.200   0.0050
  17.600   17.700    2.200    2.250   0.0051
  17.600   17.700    2.250    2.300   0.0000
  17.600   17.700    2.300    2.350   0.0000
  17.600   17.700    2.350    2.400   0.0000
  17.600   17.700    2.400    2.450   0.0052
  17.600   17.700    2.450    2.500   0.0000
  17.600   17.700    2.500    2.550   0.0000
  17.600   17.700    2.550    2.600   0.0050
  17.600   17.700    2.600    2.650   0.0000
  17.600   17.700    2.650    2.700   0.0000
  17.600   17.700    2.700    2.750   0.0000
  17.600   17.700    2.750    2.800   0.0000
  17.600   17.700    2.800    2.850   0.0050
  17.600   17.700    2.850    2.900   0.0000
  17.600   17.700    2.900    2.950   0.0000
  17.600   17.700    2.950    3.000   0.0100
  17.600   17.700    3.000    3.050   0.0047
  17.600   17.700    3.050    3.100   0.0051
  17.600   17.700    3.100    3.150   0.0239
  17.600   17.700    3.150    3.200   0.0102
  17.600   17.700    3.200    3.250   0.0000
  17.600   17.700    3.250    3.300   0.0193
  17.600   17.700    3.300    3.350   0.0051
  17.600   17.700    3.350    3.400   0.0188
  17.600   17.700    3.400    3.450   0.0107
  17.600   17.700    3.450    3.500   0.0142
  17.600   17.700    3.500    3.550   0.0052
  17.600   17.700    3.550    3.600   0.0253
  17.600   17.700    3.600    3.650   0.0205
  17.600   17.700    3.650    3.700   0.0964
  17.600   17.700    3.700    3.750   0.0400
  17.600   17.700    3.750    3.800   0.0521
  17.600   17.700    3.800    3.850   0.0367
  17.600   17.700    3.850    3.900   0.0053
  17.600   17.700    3.900    3.950   0.0051
  17.600   17.700    3.950    4.000   0.0000
  17.600   17.700    4.000    4.050   0.0000
  17.600   17.700    4.050    4.100   0.0000
  17.600   17.700    4.100    4.150   0.0000
  17.600   17.700    4.150    4.200   0.0000
  17.600   17.700    4.200    4.250   0.0000
  17.600   17.700    4.250    4.300   0.0000
  17.600   17.700    4.300    4.350   0.0000
  17.600   17.700    4.350    4.400   0.0000
  17.600   17.700    4.400    4.450   0.0000
  17.600   17.700    4.450    4.500   0.0000
  17.600   17.700    4.500    4.550   0.0000
  17.600   17.700    4.550    4.600   0.0000
  17.700   17.800    2.000    2.050   0.0000
  17.700   17.800    2.050    2.100   0.0045
  17.700   17.800    2.100    2.150   0.0233
  17.700   17.800    2.150    2.200   0.0323
  17.700   17.800    2.200    2.250   0.0305
  17.700   17.800    2.250    2.300   0.0481
  17.700   17.800    2.300    2.350   0.0628
  17.700   17.800    2.350    2.400   0.0266
  17.700   17.800    2.400    2.450   0.0192
  17.700   17.800    2.450    2.500   0.0226
  17.700   17.800    2.500    2.550   0.0408
  17.700   17.800    2.550    2.600   0.0047
  17.700   17.800    2.600    2.650   0.0183
  17.700   17.800    2.650    2.700   0.0101
  17.700   17.800    2.700    2.750   0.0099
  17.700   17.800    2.750    2.800   0.0051
  17.700   17.800    2.800    2.850   0.0151
  17.700   17.800    2.850    2.900   0.0102
  17.700   17.800    2.900    2.950   0.0312
  17.700   17.800    2.950    3.000   0.0667
  17.700   17.800    3.000    3.050   0.0825
  17.700   17.800    3.050    3.100   0.0941
  17.700   17.800    3.100    3.150   0.1000
  17.700   17.800    3.150    3.200   0.1960
  17.700   17.800    3.200    3.250   0.1889
  17.700   17.800    3.250    3.300   0.2736
  17.700   17.800    3.300    3.350   0.2500
  17.700   17.800    3.350    3.400   0.1885
  17.700   17.800    3.400    3.450   0.0769
  17.700   17.800    3.450    3.500   0.0944
  17.700   17.800    3.500    3.550   0.1225
  17.700   17.800    3.550    3.600   0.1634
  17.700   17.800    3.600    3.650   0.2857
  17.700   17.800    3.650    3.700   0.4433
  17.700   17.800    3.700    3.750   0.4409
  17.700   17.800    3.750    3.800   0.3750
  17.700   17.800    3.800    3.850   0.2732
  17.700   17.800    3.850    3.900   0.1658
  17.700   17.800    3.900    3.950   0.0612
  17.700   17.800    3.950    4.000   0.0110
  17.700   17.800    4.000    4.050   0.0053
  17.700   17.800    4.050    4.100   0.0000
  17.700   17.800    4.100    4.150   0.0055
  17.700   17.800    4.150    4.200   0.0000
  17.700   17.800    4.200    4.250   0.0000
  17.700   17.800    4.250    4.300   0.0000
  17.700   17.800    4.300    4.350   0.0000
  17.700   17.800    4.350    4.400   0.0000
  17.700   17.800    4.400    4.450   0.0000
  17.700   17.800    4.450    4.500   0.0000
  17.700   17.800    4.500    4.550   0.0000
  17.700   17.800    4.550    4.600   0.0000
  17.800   17.900    2.000    2.050   0.0613
  17.800   17.900    2.050    2.100   0.1429
  17.800   17.900    2.100    2.150   0.2081
  17.800   17.900    2.150    2.200   0.3241
  17.800   17.900    2.200    2.250   0.2910
  17.800   17.900    2.250    2.300   0.3699
  17.800   17.900    2.300    2.350   0.2887
  17.800   17.900    2.350    2.400   0.3409
  17.800   17.900    2.400    2.450   0.3538
  17.800   17.900    2.450    2.500   0.3925
  17.800   17.900    2.500    2.550   0.2623
  17.800   17.900    2.550    2.600   0.2245
  17.800   17.900    2.600    2.650   0.1584
  17.800   17.900    2.650    2.700   0.1523
  17.800   17.900    2.700    2.750   0.0870
  17.800   17.900    2.750    2.800   0.0659
  17.800   17.900    2.800    2.850   0.1031
  17.800   17.900    2.850    2.900   0.2000
  17.800   17.900    2.900    2.950   0.2823
  17.800   17.900    2.950    3.000   0.4541
  17.800   17.900    3.000    3.050   0.5347
  17.800   17.900    3.050    3.100   0.6200
  17.800   17.900    3.100    3.150   0.5736
  17.800   17.900    3.150    3.200   0.6225
  17.800   17.900    3.200    3.250   0.6218
  17.800   17.900    3.250    3.300   0.6919
  17.800   17.900    3.300    3.350   0.7374
  17.800   17.900    3.350    3.400   0.6262
  17.800   17.900    3.400    3.450   0.5429
  17.800   17.900    3.450    3.500   0.4683
  17.800   17.900    3.500    3.550   0.5404
  17.800   17.900    3.550    3.600   0.7260
  17.800   17.900    3.600    3.650   0.8191
  17.800   17.900    3.650    3.700   0.8883
  17.800   17.900    3.700    3.750   0.8901
  17.800   17.900    3.750    3.800   0.8318
  17.800   17.900    3.800    3.850   0.7358
  17.800   17.900    3.850    3.900   0.5753
  17.800   17.900    3.900    3.950   0.4706
  17.800   17.900    3.950    4.000   0.2710
  17.800   17.900    4.000    4.050   0.0703
  17.800   17.900    4.050    4.100   0.0150
  17.800   17.900    4.100    4.150   0.0101
  17.800   17.900    4.150    4.200   0.0054
  17.800   17.900    4.200    4.250   0.0000
  17.800   17.900    4.250    4.300   0.0000
  17.800   17.900    4.300    4.350   0.0000
  17.800   17.900    4.350    4.400   0.0000
  17.800   17.900    4.400    4.450   0.0000
  17.800   17.900    4.450    4.500   0.0000
  17.800   17.900    4.500    4.550   0.0000
  17.800   17.900    4.550    4.600   0.0000
  17.900   18.000    2.000    2.050   0.4460
  17.900   18.000    2.050    2.100   0.5781
  17.900   18.000    2.100    2.150   0.7081
  17.900   18.000    2.150    2.200   0.7784
  17.900   18.000    2.200    2.250   0.7972
  17.900   18.000    2.250    2.300   0.8010
  17.900   18.000    2.300    2.350   0.8083
  17.900   18.000    2.350    2.400   0.8528
  17.900   18.000    2.400    2.450   0.8021
  17.900   18.000    2.450    2.500   0.7760
  17.900   18.000    2.500    2.550   0.7926
  17.900   18.000    2.550    2.600   0.6751
  17.900   18.000    2.600    2.650   0.5907
  17.900   18.000    2.650    2.700   0.4951
  17.900   18.000    2.700    2.750   0.4581
  17.900   18.000    2.750    2.800   0.4196
  17.900   18.000    2.800    2.850   0.5075
  17.900   18.000    2.850    2.900   0.5225
  17.900   18.000    2.900    2.950   0.6281
  17.900   18.000    2.950    3.000   0.8466
  17.900   18.000    3.000    3.050   0.8934
  17.900   18.000    3.050    3.100   0.9426
  17.900   18.000    3.100    3.150   0.9469
  17.900   18.000    3.150    3.200   0.9415
  17.900   18.000    3.200    3.250   0.9670
  17.900   18.000    3.250    3.300   0.9409
  17.900   18.000    3.300    3.350   0.9444
  17.900   18.000    3.350    3.400   0.9531
  17.900   18.000    3.400    3.450   0.8990
  17.900   18.000    3.450    3.500   0.8535
  17.900   18.000    3.500    3.550   0.9223
  17.900   18.000    3.550    3.600   0.9545
  17.900   18.000    3.600    3.650   0.9860
  17.900   18.000    3.650    3.700   0.9849
  17.900   18.000    3.700    3.750   0.9749
  17.900   18.000    3.750    3.800   0.9799
  17.900   18.000    3.800    3.850   0.9434
  17.900   18.000    3.850    3.900   0.9234
  17.900   18.000    3.900    3.950   0.8940
  17.900   18.000    3.950    4.000   0.7320
  17.900   18.000    4.000    4.050   0.4955
  17.900   18.000    4.050    4.100   0.2888
  17.900   18.000    4.100    4.150   0.1287
  17.900   18.000    4.150    4.200   0.0446
  17.900   18.000    4.200    4.250   0.0101
  17.900   18.000    4.250    4.300   0.0000
  17.900   18.000    4.300    4.350   0.0084
  17.900   18.000    4.350    4.400   0.0000
  17.900   18.000    4.400    4.450   0.0000
  17.900   18.000    4.450    4.500   0.0000
  17.900   18.000    4.500    4.550   0.0000
  17.900   18.000    4.550    4.600   0.0000
  18.000   18.100    2.000    2.050   0.7692
  18.000   18.100    2.050    2.100   0.9000
  18.000   18.100    2.100    2.150   0.9404
  18.000   18.100    2.150    2.200   0.9497
  18.000   18.100    2.200    2.250   0.9949
  18.000   18.100    2.250    2.300   0.9639
  18.000   18.100    2.300    2.350   0.9745
  18.000   18.100    2.350    2.400   0.9347
  18.000   18.100    2.400    2.450   0.9409
  18.000   18.100    2.450    2.500   0.9352
  18.000   18.100    2.500    2.550   0.9122
  18.000   18.100    2.550    2.600   0.8394
  18.000   18.100    2.600    2.650   0.8028
  18.000   18.100    2.650    2.700   0.7306
  18.000   18.100    2.700    2.750   0.6535
  18.000   18.100    2.750    2.800   0.5523
  18.000   18.100    2.800    2.850   0.5771
  18.000   18.100    2.850    2.900   0.6347
  18.000   18.100    2.900    2.950   0.6912
  18.000   18.100    2.950    3.000   0.8586
  18.000   18.100    3.000    3.050   0.9709
  18.000   18.100    3.050    3.100   0.9789
  18.000   18.100    3.100    3.150   0.9849
  18.000   18.100    3.150    3.200   0.9949
  18.000   18.100    3.200    3.250   0.9731
  18.000   18.100    3.250    3.300   0.9850
  18.000   18.100    3.300    3.350   0.9703
  18.000   18.100    3.350    3.400   0.9803
  18.000   18.100    3.400    3.450   0.9378
  18.000   18.100    3.450    3.500   0.9433
  18.000   18.100    3.500    3.550   0.9657
  18.000   18.100    3.550    3.600   0.9908
  18.000   18.100    3.600    3.650   0.9950
  18.000   18.100    3.650    3.700   0.9904
  18.000   18.100    3.700    3.750   0.9949
  18.000   18.100    3.750    3.800   0.9949
  18.000   18.100    3.800    3.850   1.0000
  18.000   18.100    3.850    3.900   0.9837
  18.000   18.100    3.900    3.950   0.9661
  18.000   18.100    3.950    4.000   0.9592
  18.000   18.100    4.000    4.050   0.8657
  18.000   18.100    4.050    4.100   0.8045
  18.000   18.100    4.100    4.150   0.6467
  18.000   18.100    4.150    4.200   0.4444
  18.000   18.100    4.200    4.250   0.2536
  18.000   18.100    4.250    4.300   0.0806
  18.000   18.100    4.300    4.350   0.0345
  18.000   18.100    4.350    4.400   0.0000
  18.000   18.100    4.400    4.450   0.0000
  18.000   18.100    4.450    4.500   0.0000
  18.000   18.100    4.500    4.550   0.0000
  18.000   18.100    4.550    4.600   0.0000
