 r_start    r_end  z_start    z_end     sel.
  17.600   17.700    2.000    2.050   0.0049
  17.600   17.700    2.050    2.100   0.0000
  17.600   17.700    2.100    2.150   0.0000
  17.600   17.700    2.150    2.200   0.0056
  17.600   17.700    2.200    2.250   0.0057
  17.600   17.700    2.250    2.300   0.0000
  17.600   17.700    2.300    2.350   0.0000
  17.600   17.700    2.350    2.400   0.0000
  17.600   17.700    2.400    2.450   0.0000
  17.600   17.700    2.450    2.500   0.0000
  17.600   17.700    2.500    2.550   0.0000
  17.600   17.700    2.550    2.600   0.0000
  17.600   17.700    2.600    2.650   0.0000
  17.600   17.700    2.650    2.700   0.0056
  17.600   17.700    2.700    2.750   0.0000
  17.600   17.700    2.750    2.800   0.0057
  17.600   17.700    2.800    2.850   0.0000
  17.600   17.700    2.850    2.900   0.0000
  17.600   17.700    2.900    2.950   0.0049
  17.600   17.700    2.950    3.000   0.0064
  17.600   17.700    3.000    3.050   0.0061
  17.600   17.700    3.050    3.100   0.0132
  17.600   17.700    3.100    3.150   0.0068
  17.600   17.700    3.150    3.200   0.0417
  17.600   17.700    3.200    3.250   0.0058
  17.600   17.700    3.250    3.300   0.0405
  17.600   17.700    3.300    3.350   0.0182
  17.600   17.700    3.350    3.400   0.0000
  17.600   17.700    3.400    3.450   0.0080
  17.600   17.700    3.450    3.500   0.0074
  17.600   17.700    3.500    3.550   0.0074
  17.600   17.700    3.550    3.600   0.0140
  17.600   17.700    3.600    3.650   0.1103
  17.600   17.700    3.650    3.700   0.1140
  17.600   17.700    3.700    3.750   0.0781
  17.600   17.700    3.750    3.800   0.0275
  17.600   17.700    3.800    3.850   0.0265
  17.600   17.700    3.850    3.900   0.0213
  17.600   17.700    3.900    3.950   0.0114
  17.600   17.700    3.950    4.000   0.0000
  17.600   17.700    4.000    4.050   0.0000
  17.600   17.700    4.050    4.100   0.0000
  17.600   17.700    4.100    4.150   0.0000
  17.600   17.700    4.150    4.200   0.0000
  17.600   17.700    4.200    4.250   0.0000
  17.600   17.700    4.250    4.300   0.0000
  17.600   17.700    4.300    4.350   0.0000
  17.600   17.700    4.350    4.400   0.0000
  17.600   17.700    4.400    4.450   0.0000
  17.600   17.700    4.450    4.500   0.0000
  17.600   17.700    4.500    4.550   0.0000
  17.600   17.700    4.550    4.600   0.0000
  17.700   17.800    2.000    2.050   0.0103
  17.700   17.800    2.050    2.100   0.0110
  17.700   17.800    2.100    2.150   0.0151
  17.700   17.800    2.150    2.200   0.0534
  17.700   17.800    2.200    2.250   0.0492
  17.700   17.800    2.250    2.300   0.0628
  17.700   17.800    2.300    2.350   0.0410
  17.700   17.800    2.350    2.400   0.0513
  17.700   17.800    2.400    2.450   0.0526
  17.700   17.800    2.450    2.500   0.0365
  17.700   17.800    2.500    2.550   0.0259
  17.700   17.800    2.550    2.600   0.0226
  17.700   17.800    2.600    2.650   0.0053
  17.700   17.800    2.650    2.700   0.0000
  17.700   17.800    2.700    2.750   0.0050
  17.700   17.800    2.750    2.800   0.0095
  17.700   17.800    2.800    2.850   0.0163
  17.700   17.800    2.850    2.900   0.0051
  17.700   17.800    2.900    2.950   0.0508
  17.700   17.800    2.950    3.000   0.1089
  17.700   17.800    3.000    3.050   0.0978
  17.700   17.800    3.050    3.100   0.2343
  17.700   17.800    3.100    3.150   0.1955
  17.700   17.800    3.150    3.200   0.2000
  17.700   17.800    3.200    3.250   0.1902
  17.700   17.800    3.250    3.300   0.3586
  17.700   17.800    3.300    3.350   0.2595
  17.700   17.800    3.350    3.400   0.2143
