 r_start    r_end  z_start    z_end     sel.
  17.600   17.700    2.000    2.050   0.0000
  17.600   17.700    2.050    2.100   0.0000
  17.600   17.700    2.100    2.150   0.0000
  17.600   17.700    2.150    2.200   0.0000
  17.600   17.700    2.200    2.250   0.0000
  17.600   17.700    2.250    2.300   0.0000
  17.600   17.700    2.300    2.350   0.0000
  17.600   17.700    2.350    2.400   0.0000
  17.600   17.700    2.400    2.450   0.0000
  17.600   17.700    2.450    2.500   0.0000
  17.600   17.700    2.500    2.550   0.0000
  17.600   17.700    2.550    2.600   0.0000
  17.600   17.700    2.600    2.650   0.0000
  17.600   17.700    2.650    2.700   0.0056
  17.600   17.700    2.700    2.750   0.0000
  17.600   17.700    2.750    2.800   0.0057
  17.600   17.700    2.800    2.850   0.0000
  17.600   17.700    2.850    2.900   0.0000
  17.600   17.700    2.900    2.950   0.0049
  17.600   17.700    2.950    3.000   0.0064
  17.600   17.700    3.000    3.050   0.0061
  17.600   17.700    3.050    3.100   0.0132
  17.600   17.700    3.100    3.150   0.0068
  17.600   17.700    3.150    3.200   0.0357
  17.600   17.700    3.200    3.250   0.0058
  17.600   17.700    3.250    3.300   0.0405
  17.600   17.700    3.300    3.350   0.0182
  17.600   17.700    3.350    3.400   0.0000
  17.600   17.700    3.400    3.450   0.0000
  17.600   17.700    3.450    3.500   0.0000
  17.600   17.700    3.500    3.550   0.0000
  17.600   17.700    3.550    3.600   0.0070
  17.600   17.700    3.600    3.650   0.0000
  17.600   17.700    3.650    3.700   0.0000
  17.600   17.700    3.700    3.750   0.0000
  17.600   17.700    3.750    3.800   0.0000
  17.600   17.700    3.800    3.850   0.0000
  17.600   17.700    3.850    3.900   0.0000
  17.600   17.700    3.900    3.950   0.0000
  17.600   17.700    3.950    4.000   0.0000
  17.600   17.700    4.000    4.050   0.0000
  17.600   17.700    4.050    4.100   0.0000
  17.600   17.700    4.100    4.150   0.0000
  17.600   17.700    4.150    4.200   0.0000
  17.600   17.700    4.200    4.250   0.0000
  17.600   17.700    4.250    4.300   0.0000
  17.600   17.700    4.300    4.350   0.0000
  17.600   17.700    4.350    4.400   0.0000
  17.600   17.700    4.400    4.450   0.0000
  17.600   17.700    4.450    4.500   0.0000
  17.600   17.700    4.500    4.550   0.0000
  17.600   17.700    4.550    4.600   0.0000
  17.700   17.800    2.000    2.050   0.0000
  17.700   17.800    2.050    2.100   0.0000
  17.700   17.800    2.100    2.150   0.0000
  17.700   17.800    2.150    2.200   0.0000
  17.700   17.800    2.200    2.250   0.0164
  17.700   17.800    2.250    2.300   0.0338
  17.700   17.800    2.300    2.350   0.0308
  17.700   17.800    2.350    2.400   0.0462
  17.700   17.800    2.400    2.450   0.0526
  17.700   17.800    2.450    2.500   0.0320
  17.700   17.800    2.500    2.550   0.0207
  17.700   17.800    2.550    2.600   0.0169
  17.700   17.800    2.600    2.650   0.0053
  17.700   17.800    2.650    2.700   0.0000
  17.700   17.800    2.700    2.750   0.0050
  17.700   17.800    2.750    2.800   0.0095
  17.700   17.800    2.800    2.850   0.0109
  17.700   17.800    2.850    2.900   0.0000
  17.700   17.800    2.900    2.950   0.0508
  17.700   17.800    2.950    3.000   0.1089
  17.700   17.800    3.000    3.050   0.0978
  17.700   17.800    3.050    3.100   0.2343
  17.700   17.800    3.100    3.150   0.1899
  17.700   17.800    3.150    3.200   0.2000
  17.700   17.800    3.200    3.250   0.1902
  17.700   17.800    3.250    3.300   0.3586
  17.700   17.800    3.300    3.350   0.2405
  17.700   17.800    3.350    3.400   0.1726
  17.700   17.800    3.400    3.450   0.0488
  17.700   17.800    3.450    3.500   0.0132
  17.700   17.800    3.500    3.550   0.0000
  17.700   17.800    3.550    3.600   0.0000
  17.700   17.800    3.600    3.650   0.0000
  17.700   17.800    3.650    3.700   0.0074
  17.700   17.800    3.700    3.750   0.0000
  17.700   17.800    3.750    3.800   0.0000
  17.700   17.800    3.800    3.850   0.0000
  17.700   17.800    3.850    3.900   0.0000
  17.700   17.800    3.900    3.950   0.0000
  17.700   17.800    3.950    4.000   0.0000
  17.700   17.800    4.000    4.050   0.0000
  17.700   17.800    4.050    4.100   0.0000
  17.700   17.800    4.100    4.150   0.0000
  17.700   17.800    4.150    4.200   0.0000
  17.700   17.800    4.200    4.250   0.0000
  17.700   17.800    4.250    4.300   0.0000
  17.700   17.800    4.300    4.350   0.0000
  17.700   17.800    4.350    4.400   0.0000
  17.700   17.800    4.400    4.450   0.0000
  17.700   17.800    4.450    4.500   0.0000
  17.700   17.800    4.500    4.550   0.0000
  17.700   17.800    4.550    4.600   0.0000
  17.800   17.900    2.000    2.050   0.0000
  17.800   17.900    2.050    2.100   0.0000
  17.800   17.900    2.100    2.150   0.0051
  17.800   17.900    2.150    2.200   0.0291
  17.800   17.900    2.200    2.250   0.1590
  17.800   17.900    2.250    2.300   0.3202
  17.800   17.900    2.300    2.350   0.3598
  17.800   17.900    2.350    2.400   0.3367
  17.800   17.900    2.400    2.450   0.4136
  17.800   17.900    2.450    2.500   0.4105
  17.800   17.900    2.500    2.550   0.3119
  17.800   17.900    2.550    2.600   0.2195
  17.800   17.900    2.600    2.650   0.1333
  17.800   17.900    2.650    2.700   0.1302
  17.800   17.900    2.700    2.750   0.0684
  17.800   17.900    2.750    2.800   0.0963
  17.800   17.900    2.800    2.850   0.1534
  17.800   17.900    2.850    2.900   0.2395
  17.800   17.900    2.900    2.950   0.2955
  17.800   17.900    2.950    3.000   0.5052
  17.800   17.900    3.000    3.050   0.5280
  17.800   17.900    3.050    3.100   0.6311
  17.800   17.900    3.100    3.150   0.5894
  17.800   17.900    3.150    3.200   0.5957
  17.800   17.900    3.200    3.250   0.6989
  17.800   17.900    3.250    3.300   0.7353
  17.800   17.900    3.300    3.350   0.7034
  17.800   17.900    3.350    3.400   0.5613
  17.800   17.900    3.400    3.450   0.2486
  17.800   17.900    3.450    3.500   0.0140
  17.800   17.900    3.500    3.550   0.0000
  17.800   17.900    3.550    3.600   0.0000
  17.800   17.900    3.600    3.650   0.0000
  17.800   17.900    3.650    3.700   0.0000
  17.800   17.900    3.700    3.750   0.0000
  17.800   17.900    3.750    3.800   0.0000
  17.800   17.900    3.800    3.850   0.0000
  17.800   17.900    3.850    3.900   0.0000
  17.800   17.900    3.900    3.950   0.0000
  17.800   17.900    3.950    4.000   0.0000
  17.800   17.900    4.000    4.050   0.0000
  17.800   17.900    4.050    4.100   0.0000
  17.800   17.900    4.100    4.150   0.0000
  17.800   17.900    4.150    4.200   0.0000
  17.800   17.900    4.200    4.250   0.0000
  17.800   17.900    4.250    4.300   0.0000
  17.800   17.900    4.300    4.350   0.0000
  17.800   17.900    4.350    4.400   0.0000
  17.800   17.900    4.400    4.450   0.0000
  17.800   17.900    4.450    4.500   0.0000
  17.800   17.900    4.500    4.550   0.0000
  17.800   17.900    4.550    4.600   0.0000
  17.900   18.000    2.000    2.050   0.0000
  17.900   18.000    2.050    2.100   0.0000
  17.900   18.000    2.100    2.150   0.0052
  17.900   18.000    2.150    2.200   0.0390
  17.900   18.000    2.200    2.250   0.4103
  17.900   18.000    2.250    2.300   0.7561
  17.900   18.000    2.300    2.350   0.7112
  17.900   18.000    2.350    2.400   0.7363
  17.900   18.000    2.400    2.450   0.7092
  17.900   18.000    2.450    2.500   0.7340
  17.900   18.000    2.500    2.550   0.7500
  17.900   18.000    2.550    2.600   0.6335
  17.900   18.000    2.600    2.650   0.5153
  17.900   18.000    2.650    2.700   0.4493
  17.900   18.000    2.700    2.750   0.3427
  17.900   18.000    2.750    2.800   0.4244
  17.900   18.000    2.800    2.850   0.4462
  17.900   18.000    2.850    2.900   0.5556
  17.900   18.000    2.900    2.950   0.6211
  17.900   18.000    2.950    3.000   0.7788
  17.900   18.000    3.000    3.050   0.8653
  17.900   18.000    3.050    3.100   0.9000
  17.900   18.000    3.100    3.150   0.8978
  17.900   18.000    3.150    3.200   0.8969
  17.900   18.000    3.200    3.250   0.9344
  17.900   18.000    3.250    3.300   0.9429
  17.900   18.000    3.300    3.350   0.8974
  17.900   18.000    3.350    3.400   0.6803
  17.900   18.000    3.400    3.450   0.2931
  17.900   18.000    3.450    3.500   0.0248
  17.900   18.000    3.500    3.550   0.0111
  17.900   18.000    3.550    3.600   0.0000
  17.900   18.000    3.600    3.650   0.0000
  17.900   18.000    3.650    3.700   0.0000
  17.900   18.000    3.700    3.750   0.0075
  17.900   18.000    3.750    3.800   0.0000
  17.900   18.000    3.800    3.850   0.0000
  17.900   18.000    3.850    3.900   0.0060
  17.900   18.000    3.900    3.950   0.0000
  17.900   18.000    3.950    4.000   0.0070
  17.900   18.000    4.000    4.050   0.0000
  17.900   18.000    4.050    4.100   0.0000
  17.900   18.000    4.100    4.150   0.0000
  17.900   18.000    4.150    4.200   0.0000
  17.900   18.000    4.200    4.250   0.0000
  17.900   18.000    4.250    4.300   0.0000
  17.900   18.000    4.300    4.350   0.0000
  17.900   18.000    4.350    4.400   0.0000
